"MC","","1","The Neolithic Agricultural Revolution is best defined as","2","the migration of hunter-forager bands out of Africa and across Eurasia.","the shift from hunting and gathering to settled agriculture.","the invention of writing in order to record surplus grain.","the domestication of the camel, which opened desert trade routes."
"MC","","1","Which combination of geographic conditions best explains why agriculture began in the Fertile Crescent rather than in the surrounding regions?","4","Accessible gold deposits, nearby salt mines, and established caravan routes.","High altitude, terraced slopes, and herds of domesticable llamas.","Deep natural harbours, predictable coastal winds, and dense hardwood forests suitable for building ships and ploughs.","Fresh water for irrigation, fertile soil, and the wild ancestors of domesticable plants and animals."
"MC","","1","An agricultural surplus most directly enabled which of the following?","1","Job specialization, because not everyone had to farm.","A more varied and nutritious diet than foraging had provided.","The end of patriarchy and hereditary social class.","Nomadic pastoralism on the Eurasian steppe."
"MC","","1","Pastoralism developed as a way of life primarily in environments that","3","were cut off from contact with settled agricultural societies.","received too much rainfall for grain to ripen.","were too dry and open to support reliable farming.","had no domesticable animal species at all."
"MC","","1","Confucianism became the content of China's civil service examination primarily because it","3","promised salvation after death to anyone who studied its scriptures, regardless of birth or wealth.","rejected the emperor's authority in favour of local self-rule.","prized education and merit and defined duties within a hierarchy of relationships.","taught wu wei, effortless action, as the correct principle of government."
"MC","","1","Buddhism spread far beyond South Asia while Hinduism remained more rooted there largely because Buddhism","2","was carried outward by the armies of rulers who conquered neighbouring kingdoms and imposed it.","offered a path to enlightenment open to anyone regardless of caste.","rejected monasteries, which made it cheaper to spread.","was adopted as the official religion of the Roman Empire."
"MC","","1","After Rome destroyed the Second Temple in 70 CE, Jewish worship shifted toward the synagogue, the study of Torah, and the authority of rabbis. This shift mattered historically because it","4","ended Jewish participation in the long-distance trade of the Mediterranean and the Indian Ocean.","merged Judaism with early Christianity.","converted much of the Roman elite to Judaism.","made Jewish religious life portable across the diaspora."
"MC","","1","Chan Buddhism absorbing Daoist aesthetics in China, Islam in Mali retaining Mande griot traditions, and Ethiopian Christianity maintaining its own biblical canon are all examples of","1","syncretism.","state adoption of a religion.","missionary conquest.","monotheism."
"MC","","1","The Mandate of Heaven functioned as a tool of rule in Han China because it","3","made dynastic authority hereditary and unconditional, so that once a house held the throne it could not lawfully be removed.","granted the emperor divine status equal to that of the gods.","tied legitimacy to just rule and treated disaster or rebellion as evidence that Heaven had withdrawn it.","gave officials lifetime tenure regardless of their performance."
"MC","","1","Rome's gradual extension of citizenship differed from Persian and Han practice because it","1","gave conquered peoples a legal stake in the state that ruled them.","abolished slavery throughout the provinces.","required conquered peoples to abandon their local religions and adopt the imperial cult of the emperor.","selected provincial officials by written examination."
"MC","","1","Athenian democracy in the fifth century BCE is best described as","2","representative government in which all adult residents of the city elected officials to speak for them in the assembly.","direct rule by free adult male citizens, excluding women, enslaved people and resident foreigners.","an oligarchy in which a small militarized elite governed.","rule by a King of Kings who delegated authority to regional governors."
"MC","","1","The Indian Ocean trade network depended most directly on","4","a network of caravanserais offering shelter and water.","Roman roads linking Mediterranean ports to the interior.","the North Arabian camel saddle.","monsoon winds that reverse direction with the seasons."
"MC","","1","The adoption of the North Arabian camel saddle, around 300 CE, mattered because it","1","turned the Sahara from a barrier into a trade corridor.","carried papermaking technology into the Islamic world.","made two rice harvests a year possible in the Yangtze Delta.","allowed ships to sail against the monsoon for the first time."
"MC","","1","Which statement best describes Europe's position in the world at c.1200?","3","Cut off from Mediterranean commerce and from contact with the Islamic world.","The wealthiest and most commercially sophisticated region on earth.","Peripheral by most economic and intellectual measures compared with Dar al-Islam and East Asia.","Politically unified under a single Christian empire governing from the Atlantic coast to the Black Sea and the Baltic."
"MC","","1","The Americas at c.1200 differed from Afro-Eurasia most significantly in that they","2","had developed no systems of writing or record-keeping of any kind.","developed complex societies without horses, large draft animals, or exposure to the Eurasian disease pool.","were ruled by a single empire whose authority stretched from Cahokia on the Mississippi to the Andean highlands.","contained no cities and no long-distance exchange."
"MC","","1","Which statement best describes Dar al-Islam at c.1200?","4","In steep intellectual decline, since the collapse of the madrasa system and its waqf endowments had ended organized scholarship across the Islamic world.","Confined to the Arabian peninsula and excluded from Indian Ocean trade.","Politically unified under an Abbasid caliph who held both religious and military power.","Politically fragmented, with the Abbasid caliph holding symbolic authority while Seljuk Turks governed, yet intellectually at a peak."
"MC","","1","SOURCE: The Nile River and its delta, photographed from orbit

NASA, via Wikimedia Commons. Used in Foundations 1, Evidence Lab.

The photograph shows the Nile from space. A narrow ribbon of dark green vegetation follows the river for hundreds of kilometres, widening into a fan-shaped delta at the Mediterranean. On either side of that ribbon, in every direction, the land is the pale brown of the Sahara. The green is a few kilometres wide in places. The desert runs to the horizon.

The image most directly supports which claim about early agriculture?","2","Farming spread outward from a single point of origin in the Nile valley to the other river valleys of Afro-Eurasia.","Geographic conditions concentrated agriculture into a narrow zone within an otherwise hostile environment.","Desert environments were as productive for farming as river floodplains.","Egyptian farmers depended on rainfall rather than on river water."
"MC","","1","SOURCE: The Nile River and its delta, photographed from orbit

NASA, via Wikimedia Commons. Used in Foundations 1, Evidence Lab.

The photograph shows the Nile from space. A narrow ribbon of dark green vegetation follows the river for hundreds of kilometres, widening into a fan-shaped delta at the Mediterranean. On either side of that ribbon, in every direction, the land is the pale brown of the Sahara. The green is a few kilometres wide in places. The desert runs to the horizon.

Which mechanism best explains why the green zone visible in the image could support cities while the surrounding land could not?","1","The river's annual flood supplied irrigation water and deposited fertile soil across the floodplain each year.","The deserts on either side sheltered the floodplain from invasion, which allowed its population to grow undisturbed for centuries.","The delta gave Egyptian farmers direct access to Mediterranean grain markets.","The river allowed farmers to move their fields whenever soil fertility declined."
"MC","","1","SOURCE: The Nile River and its delta, photographed from orbit

NASA, via Wikimedia Commons. Used in Foundations 1, Evidence Lab.

The photograph shows the Nile from space. A narrow ribbon of dark green vegetation follows the river for hundreds of kilometres, widening into a fan-shaped delta at the Mediterranean. On either side of that ribbon, in every direction, the land is the pale brown of the Sahara. The green is a few kilometres wide in places. The desert runs to the horizon.

A historian uses this image to argue that geography is a cause but not a destiny. Which addition to the argument best supports that distinction?","4","Noting that the Sahara later became a corridor for camel caravans.","Noting that the Nile flood was more predictable than the flooding of the Tigris and Euphrates.","Noting that the other great river valleys, including the Indus and the Huang He, produced early civilizations of their own on the same pattern.","Noting that the same floodplain supported a state only once people organized irrigation works, labour and the storage of grain."
"MC","","1","SOURCE: Map: the origin and spread of Buddhism across Asia

World History Encyclopedia (worldhistory.org). Used in Foundations 2, Map and Geography Check.

A shaded block on the Gangetic plain marks the origin zone, 5th to 4th century BCE, with Bodh Gaya and Sarnath inside it. Coloured arrows leave that zone in three sets. Red arrows, from the 3rd century BCE, run south to Sri Lanka and then across the Bay of Bengal to the Pyu city-states, Bagan, and the Thai and Khmer mainland. Purple arrows, from the 1st century BCE or CE, run northwest through Gandhara and Bactria and then east along the Silk Road oases of Kashgar, Khotan, Kucha and Dunhuang into Han China, and later to Korea and Japan; a second purple track goes by sea to Champa, Funan and Srivijaya. Blue arrows, from the 7th century CE, leave the monastic universities of Nalanda, Vikramasila and Odantapura for Tibet, and much later for Mongolia. A pale band across Central Asia is labelled as the overland Silk Road and identified as a major conduit of transmission.

The map carries its own note: dates mark the earliest known establishment or a strong presence, not continuous dominance; the arrows are broad pathways built from pilgrimage, trade, monastic networks, translation and royal patronage rather than single journeys; and the three traditions are drawn separately for clarity even though they developed gradually and overlapped in the same regions for centuries.

The routes shown on the map indicate that Buddhism spread principally through","3","maritime routes alone, since the overland passes were impassable.","the conquests of Buddhist rulers over neighbouring states.","merchants, monks, pilgrims, translators and rulers who funded monasteries.","the forced resettlement of Buddhist populations into new territories by imperial governments."
"MC","","1","SOURCE: Map: the origin and spread of Buddhism across Asia

World History Encyclopedia (worldhistory.org). Used in Foundations 2, Map and Geography Check.

A shaded block on the Gangetic plain marks the origin zone, 5th to 4th century BCE, with Bodh Gaya and Sarnath inside it. Coloured arrows leave that zone in three sets. Red arrows, from the 3rd century BCE, run south to Sri Lanka and then across the Bay of Bengal to the Pyu city-states, Bagan, and the Thai and Khmer mainland. Purple arrows, from the 1st century BCE or CE, run northwest through Gandhara and Bactria and then east along the Silk Road oases of Kashgar, Khotan, Kucha and Dunhuang into Han China, and later to Korea and Japan; a second purple track goes by sea to Champa, Funan and Srivijaya. Blue arrows, from the 7th century CE, leave the monastic universities of Nalanda, Vikramasila and Odantapura for Tibet, and much later for Mongolia. A pale band across Central Asia is labelled as the overland Silk Road and identified as a major conduit of transmission.

The map carries its own note: dates mark the earliest known establishment or a strong presence, not continuous dominance; the arrows are broad pathways built from pilgrimage, trade, monastic networks, translation and royal patronage rather than single journeys; and the three traditions are drawn separately for clarity even though they developed gradually and overlapped in the same regions for centuries.

The map notes that its dates mark the earliest known establishment or a strong presence rather than continuous dominance. A student who ignores that note is most likely to conclude, incorrectly, that","1","Buddhism became the majority religion of each region in the century its arrow is dated.","the three traditions differed from one another in doctrine and practice.","the Silk Road carried religious as well as commercial traffic.","Buddhism was established in Sri Lanka roughly 1,500 years before it was established in Mongolia."
"MC","","1","SOURCE: Map: the origin and spread of Buddhism across Asia

World History Encyclopedia (worldhistory.org). Used in Foundations 2, Map and Geography Check.

A shaded block on the Gangetic plain marks the origin zone, 5th to 4th century BCE, with Bodh Gaya and Sarnath inside it. Coloured arrows leave that zone in three sets. Red arrows, from the 3rd century BCE, run south to Sri Lanka and then across the Bay of Bengal to the Pyu city-states, Bagan, and the Thai and Khmer mainland. Purple arrows, from the 1st century BCE or CE, run northwest through Gandhara and Bactria and then east along the Silk Road oases of Kashgar, Khotan, Kucha and Dunhuang into Han China, and later to Korea and Japan; a second purple track goes by sea to Champa, Funan and Srivijaya. Blue arrows, from the 7th century CE, leave the monastic universities of Nalanda, Vikramasila and Odantapura for Tibet, and much later for Mongolia. A pale band across Central Asia is labelled as the overland Silk Road and identified as a major conduit of transmission.

The map carries its own note: dates mark the earliest known establishment or a strong presence, not continuous dominance; the arrows are broad pathways built from pilgrimage, trade, monastic networks, translation and royal patronage rather than single journeys; and the three traditions are drawn separately for clarity even though they developed gradually and overlapped in the same regions for centuries.

The blue Vajrayana arrows begin at Nalanda, Vikramasila and Odantapura, which were monastic universities, rather than at a founder's birthplace. This detail best supports which claim about belief systems?","2","Belief systems change only when a new founder appears.","Belief systems operated as institutions capable of generating and exporting new traditions.","Belief systems spread fastest where political authority was weakest.","Belief systems required the sponsorship of a state before they could cross a political border at all."
"MC","","1","SOURCE: Source note: the Cyrus Cylinder, Babylon, shortly after 539 BCE

The Cyrus Cylinder is a barrel-shaped clay object about 22 centimetres long, inscribed in Akkadian cuneiform and buried in the foundations of a building in Babylon shortly after Cyrus the Great took the city in 539 BCE. It is written in the first person, in the voice of the Persian king.

In it, Cyrus presents himself as chosen by Marduk, the chief god of Babylon, and describes the defeated Babylonian king as a ruler who had neglected the gods and burdened his own people. Cyrus claims to have entered the city peacefully, restored damaged sanctuaries, returned images of gods that earlier rulers had carried off to their home cities, and allowed displaced people to go back to their own settlements.

The cylinder was a foundation deposit. It was written by Babylonian scribes, in the Babylonian language, using the conventions Babylonian kings had used for centuries to announce a legitimate reign, and it was sealed into a wall rather than published.

The claims Cyrus makes in the cylinder were most useful to him as a solution to which governance problem?","4","Recruiting officials capable of administering a distant province without day-to-day supervision from the capital.","Defending a frontier against mobile pastoralist raiders.","Extracting tribute from provinces at a distance from the capital.","Making Persian rule appear legitimate to a conquered population with its own gods and traditions."
"MC","","1","SOURCE: Source note: the Cyrus Cylinder, Babylon, shortly after 539 BCE

The Cyrus Cylinder is a barrel-shaped clay object about 22 centimetres long, inscribed in Akkadian cuneiform and buried in the foundations of a building in Babylon shortly after Cyrus the Great took the city in 539 BCE. It is written in the first person, in the voice of the Persian king.

In it, Cyrus presents himself as chosen by Marduk, the chief god of Babylon, and describes the defeated Babylonian king as a ruler who had neglected the gods and burdened his own people. Cyrus claims to have entered the city peacefully, restored damaged sanctuaries, returned images of gods that earlier rulers had carried off to their home cities, and allowed displaced people to go back to their own settlements.

The cylinder was a foundation deposit. It was written by Babylonian scribes, in the Babylonian language, using the conventions Babylonian kings had used for centuries to announce a legitimate reign, and it was sealed into a wall rather than published.

Which is the strongest sourcing statement about this object?","3","The cylinder proves Cyrus was more tolerant than other ancient conquerors.","The cylinder is unreliable because all royal inscriptions are propaganda.","Written by the new king's own scribes in Babylonian convention and buried in a wall, it is better evidence for how Persian rule wished to be seen than for how it was experienced.","The cylinder is a primary source written at the time by people present in Babylon, so its account of Cyrus entering the city peacefully can be accepted as an accurate record of events."
